rank,divisionRank,team,classification,conference,rating,wins,losses,ties,scheduleStrength
399,33,Utica,iii,Empire 8,-7.816179,3,0,0,-21.156054
400,34,Salisbury,iii,New Jersey,-7.982728,2,0,0,-36.888038
401,94,Missouri Southern State,ii,Mid America,-8.007495,1,2,0,3.618849
402,95,University of Mary,ii,Northern Sun,-8.085737,1,3,0,6.429314
403,35,Susquehanna,iii,Landmark Conference,-8.415927,3,0,0,-30.800682
404,96,Emory & Henry,ii,South Atlantic,-8.510545,1,3,0,-3.701517
405,97,Ohio Dominican,ii,Great Midwest Athletic,-8.542089,1,2,0,-0.683545
406,98,Bloomsburg,ii,Pennsylvania State Athletic,-8.553661,2,1,0,-15.096846
407,36,LaGrange,iii,USA South,-8.891221,2,1,0,-17.676569
408,99,Assumption,ii,Northeast 10,-8.91886,1,2,0,-5.375294
409,37,Chapman,iii,So. Cal.,-8.954114,1,1,0,5.850038
410,10,Oklahoma Panhandle,unknown,Independent,-9.090892,1,1,0,-4.354853
411,100,Franklin Pierce,ii,Northeast 10,-9.1018,1,1,0,-17.273316
412,101,Erskine,ii,Carolinas,-9.28267,1,1,0,-11.179383
413,38,Franklin & Marshall,iii,Centennial,-9.332898,3,0,0,-31.986226
414,102,Bentley,ii,Northeast 10,-9.337384,2,1,0,-18.331584
415,127,Chicago State,fcs,FCS Independents,-9.425367,1,3,0,1.866605
416,103,Fort Valley State,ii,SIAC,-9.442824,1,2,0,-6.037521
417,104,New Mexico Highlands,ii,Rocky Mountain,-9.97382,3,1,0,-17.20602
418,105,Tuskegee,ii,SIAC,-10.03817,1,2,0,4.924913
419,11,Dakota State University,unknown,Independent,-10.363288,0,1,0,-5.579633
420,39,Hanover,iii,Heartland,-10.380333,2,1,0,-17.569947
421,128,Mississippi Valley State,fcs,SWAC,-10.820158,1,3,0,2.414359
422,40,Colby,iii,NESCAC,-11.062128,0,1,0,11.386202
423,106,William Jewell,ii,Great Lakes,-11.080535,2,0,1,-21.97109
424,107,Miles,ii,SIAC,-11.289547,1,3,0,1.39691
425,108,Shorter,ii,Carolinas,-11.457589,1,2,0,-9.477702
426,41,Dickinson,iii,Centennial,-11.623851,2,1,0,-19.208132
427,109,McKendree,ii,Great Lakes,-11.75289,1,2,0,7.059597
428,42,Ohio Northern,iii,Ohio,-12.054234,2,1,0,-22.363019
429,110,Edinboro,ii,Pennsylvania State Athletic,-12.14876,2,1,0,-8.266539
430,111,East Stroudsburg,ii,Pennsylvania State Athletic,-12.314928,2,1,0,-11.432708
431,12,Northwestern (IA),unknown,Independent,-12.333925,0,1,0,17.888154
432,43,Denison,iii,North Coast,-12.433542,2,1,0,-27.551322
433,44,Wabash,iii,North Coast,-12.435942,3,0,0,-36.720388
434,112,West Virginia State,ii,Mountain East,-12.501481,1,2,0,-12.517343
435,45,DePauw,iii,North Coast,-12.807304,2,1,0,-22.59175
